Title,Published_date,Likes,Views
Surviving 24 Hours Straight In A Rain Forest,2019-09-21,2700858,142233724
"Last To Leave Ramen Noodle Pool Wins $20,000",2019-09-13,1598663,77248529
"Anything You Can Carry, I'll Pay For #2",2019-09-06,1729835,88757684
"I Gave My Brother 24 Hours To Spend $100,000",2019-08-31,2568827,105968472
I Opened A Free Car Dealership,2019-08-29,3522429,148212942
"Last To Leave Pool Of $20,000 Keeps It",2019-08-24,3353372,184655962
Surviving 24 Hours On A Deserted Island,2019-08-22,3637018,207230471
"Last To Leave Roller Coaster Wins $20,000 - Challenge",2019-08-17,3060295,164725402
I Won Every Prize At A Theme Park,2019-08-15,3028664,185013691
Destroying My Friend's Car And Surprising Him With A New One,2019-08-10,2854942,113853598
I Spent 24 Hours Straight At Area 51,2019-08-02,3937984,183345863
"Can 50,000 Magnets Catch A Cannon Ball?",2019-07-20,2217326,133783462
World's Largest Game Of Dodgeball,2019-07-12,1714005,92575252
"Last To Leave Revolving Door Wins $50,000",2019-07-02,3690585,167080442
Tipping Waitresses With Real Gold Bars,2019-06-21,1824580,70534127
I Opened The World's First FREE Store,2019-06-15,2372842,95368764
Spending 24 Hours On Top Of A Mountain,2019-06-13,4029571,222958610
"Last To Leave VR Wins $20,000",2019-06-08,3290810,167830578
"Last To Stop Running Wins $20,000",2019-06-06,2379506,121705078
"Paying People $10,000 To Eat Ghost Pepper",2019-06-01,1120771,40825487
24 Hours In The Most Haunted Place On Earth,2019-05-30,3123830,149764176
I Bought Everything In A Store - Challenge,2019-05-18,4339430,162126096
World's Largest Bowl Of Cereal,2019-05-15,3399125,245830424
Spending 24 Hours In A City With No Laws,2019-05-07,2988484,182482116
"Giving $10,000 To Random People And Saying Nothing",2019-04-30,1857959,83156428
Molten Lava Vs Giant Ice Block Experiment,2019-04-27,1859285,99943299
"Anything You Can Carry, I'll Pay For Challenge",2019-04-20,1787792,92805510
Homeless Man Buys A Lamborghini,2019-04-18,4288772,194396505
Playing Battleship With Real Ships,2019-04-06,1015284,38431780
"Donating $100,000 To Shroud In Real Life",2019-04-04,877536,32350138
"Last To Leave The Tesla, Keeps It Challenge",2019-03-29,2070378,119404397
"Donating $100,000 To Streamers With 0 Viewers",2019-03-24,3485136,105611799
Surviving 24 Hours Straight In A Desert,2019-03-16,3351730,179401665
"$200,000 Youtuber Battle Royale",2019-03-12,1740817,56119302
Surprising Strangers With 100 Zombies - Experiment,2019-03-03,1794491,61303052
I Gave A Homeless Man A Home,2019-02-28,2217627,84130667
Standing Still For 24 Hours Straight - Statue Challenge,2019-02-22,2039418,123784554
Giant Monopoly Game With Real Money,2019-02-15,2476153,132330336
I Spent 24 Hours Straight In Insane Asylum,2019-02-10,2355487,122657505
I Advertised Pewdiepie At The Super Bowl,2019-02-04,1250876,45148022
I Went Back To 1st Grade For A Day,2019-01-31,3501546,225559063
I Opened The World’s Cheapest Store,2019-01-26,1147259,41636046
I Put 10 Million Legos in Friend's House,2019-01-18,1711362,114728721
Make This Video The Most Liked Video On Youtube,2019-01-16,30338617,154650109
"20,000 Magnets Vs A Car",2019-01-14,771640,34374792
"Eating A $10,000 Golden Steak (24k Gold)",2019-01-11,2430136,159199805
Last To Take Hand Off House Keeps It!,2019-01-08,1669522,98782810
"I Gave Him One Hour To Spend $100,000!",2019-01-01,1638969,82309105
